Player,Country,Matches,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SPD Smith,Australia,8,7,1,402,105,67,439,91.57,1,4,0,37,4
DA Warner,Australia,8,8,1,345,178,49.28,287,120.2,1,0,0,38,9
GJ Maxwell,Australia,8,6,1,324,102,64.8,178,182.02,1,2,0,35,14
AJ Finch,Australia,8,8,0,280,135,35,304,92.1,1,1,1,26,6
MJ Clarke,Australia,7,6,0,219,74,36.5,228,96.05,0,2,0,25,3
SR Watson,Australia,7,7,2,208,67,41.6,196,106.12,0,2,1,22,4
BJ Haddin,Australia,8,5,2,126,43,42,80,157.5,0,0,0,16,4
GJ Bailey,Australia,1,1,0,55,55,55,69,79.71,0,1,0,3,0
JP Faulkner,Australia,6,4,1,44,21,14.66,25,176,0,0,1,6,2
MG Johnson,Australia,8,4,2,31,27,15.5,20,155,0,0,1,4,1
MR Marsh,Australia,3,3,0,31,23,10.33,31,100,0,0,1,3,0
MA Starc,Australia,8,3,1,0,0,0,3,0,0,0,2,0,0
IR Bell,England,6,6,1,262,63,52.4,339,77.28,0,3,0,27,0
JE Root,England,6,5,0,202,121,40.4,240,84.16,1,0,0,19,2
MM Ali,England,5,5,0,192,128,38.4,182,105.49,1,0,0,24,5
JWA Taylor,England,6,6,2,149,98,37.25,168,88.69,0,1,1,12,3
JC Buttler,England,6,5,1,141,65,35.25,104,135.57,0,1,0,17,2
EJG Morgan,England,6,5,0,90,46,18,139,64.74,0,0,2,7,3
CR Woakes,England,5,5,2,90,42,30,94,95.74,0,0,0,6,0
AD Hales,England,2,2,0,64,37,32,67,95.52,0,0,0,7,2
GS Ballance,England,4,4,0,36,10,9,71,50.7,0,0,0,3,0
SCJ Broad,England,6,4,1,13,9,4.33,20,65,0,0,1,0,1
JM Anderson,England,6,3,1,9,8,4.5,15,60,0,0,1,1,0
ST Finn,England,4,3,1,2,1,1,15,13.33,0,0,1,0,0
CJ Jordan,England,2,1,0,0,0,0,1,0,0,0,1,0,0
S Dhawan,India,8,8,0,412,137,51.5,449,91.75,2,1,0,48,9
RG Sharma,India,8,8,1,330,137,47.14,360,91.66,1,2,1,33,9
V Kohli,India,8,8,2,305,107,50.83,374,81.55,1,0,0,29,1
SK Raina,India,8,6,1,284,110,56.8,258,110.07,1,2,0,25,8
MS Dhoni,India,8,6,2,237,85,59.25,232,102.15,0,2,0,18,6
AM Rahane,India,8,7,1,208,79,34.66,252,82.53,0,1,1,21,3
RA Jadeja,India,8,5,1,57,23,14.25,59,96.61,0,0,0,8,0
R Ashwin,India,8,5,4,30,16,30,54,55.55,0,0,0,0,0
MM Sharma,India,8,1,0,0,0,0,1,0,0,0,1,0,0
UT Yadav,India,8,1,0,0,0,0,5,0,0,0,1,0,0
MJ Guptill,New Zealand,9,9,1,547,237,68.37,523,104.58,2,1,0,59,16
BB McCullum,New Zealand,9,9,0,328,77,36.44,174,188.5,0,4,1,44,17
GD Elliott,New Zealand,9,8,1,310,84,44.28,294,105.44,0,2,1,29,7
KS Williamson,New Zealand,9,9,2,234,57,33.42,300,78,0,1,0,28,2
CJ Anderson,New Zealand,9,8,1,231,75,33,213,108.45,0,2,1,22,9
LRPL Taylor,New Zealand,9,9,2,221,56,31.57,359,61.55,0,1,0,17,0
L Ronchi,New Zealand,9,7,1,73,29,12.16,62,117.74,0,0,1,11,1
DL Vettori,New Zealand,9,6,4,50,16,25,46,108.69,0,0,0,6,1
TG Southee,New Zealand,9,3,1,23,12,11.5,18,127.77,0,0,1,1,2
AF Milne,New Zealand,6,2,1,1,1,1,5,20,0,0,1,0,0
MJ Henry,New Zealand,2,1,0,0,0,0,7,0,0,0,1,0,0
